,localId,neg,neu,pos,acc,date
83,83,0.0,0.872,0.128,0.3612,2023-04-16 14:01:46+00:00
84,84,0.053,0.947,0.0,-0.296,2023-04-16 13:58:16+00:00
85,85,0.0,0.546,0.454,0.8463,2023-04-16 13:52:06+00:00
86,86,0.0,1.0,0.0,0.0,2023-04-16 13:51:21+00:00
87,87,0.0,0.798,0.202,0.7804,2023-04-16 13:47:37+00:00
88,88,0.081,0.846,0.073,-0.1027,2023-04-16 13:45:46+00:00
89,89,0.165,0.722,0.113,-0.4215,2023-04-16 13:43:36+00:00
90,90,0.0,0.874,0.126,0.6166,2023-04-16 13:41:56+00:00
91,91,0.0,0.795,0.205,0.8286,2023-04-16 13:30:56+00:00
92,92,0.0,1.0,0.0,0.0,2023-04-16 13:27:25+00:00
93,93,0.0,0.885,0.115,0.6166,2023-04-16 13:22:15+00:00
94,94,0.184,0.816,0.0,-0.2023,2023-04-16 13:17:10+00:00
95,95,0.0,0.878,0.122,0.6166,2023-04-16 13:12:55+00:00
96,96,0.0,0.797,0.203,0.6808,2023-04-16 13:08:36+00:00
97,97,0.0,0.878,0.122,0.6166,2023-04-16 13:08:34+00:00
98,98,0.0,0.852,0.148,0.7096,2023-04-16 13:07:07+00:00
99,99,0.0,0.947,0.053,0.1027,2023-04-16 13:05:05+00:00
